comunidad_autonoma,puntos_carga,capital,latitud,longitud
Cataluña,8045,Barcelona,41.3888,2.159
Comunidad de Madrid,4360,Madrid,40.4168,-3.7038
Comunidad Valenciana,3637,Valencia,39.4699,-0.3763
Andalucía,3716,Sevilla,37.3886,-5.9823
Castilla y León,2218,Valladolid,41.6523,-4.7245
Islas Canarias,1286,Las Palmas de Gran Canaria,28.1235,-15.4363
Baleares,1072,Palma de Mallorca,39.5696,2.6502
País Vasco,1348,Vitoria-Gasteiz,42.8465,-2.6716
Galicia,1199,Santiago de Compostela,42.8782,-8.5448
Castilla-La Mancha,1209,Toledo,39.8628,-4.0273
Aragón,829,Zaragoza,41.6488,-0.8891
Murcia,803,Murcia,37.9922,-1.1307
Extremadura,650,Mérida,38.9161,-6.344
Asturias,548,Oviedo,43.3619,-5.8494
Navarra,575,Pamplona,42.8125,-1.6458
Cantabria,689,Santander,43.4623,-3.8099
La Rioja,204,Logroño,42.4627,-2.4448
Melilla,26,Melilla,35.2923,-2.9381
Ceuta,8,Ceuta,35.8894,-5.3198
